Station,Year,Month,Day,Latitude,Longitude,Mean Depth,Std. Dev. Depth,Mean Density,Std. Dev. Density
5,1955,5,31,82.915,153.49,49.4,15.021,0.299,0.020248
5,1955,6,11,83.472,153.03,46.01,14.75,0.334,0.025033
5,1955,6,23,83.722,150.47,43.867,17.492,0.36875,0.029001
5,1955,7,4,83.868,151.62,25.82,14.352,0.386,0.050155
5,1955,11,10,85.368,120.07,NaN,NaN,0.265,0.060231
5,1955,11,22,86.027,116.48,25.06,11.013,0.261,0.01912
5,1955,11,30,86.262,112.13,NaN,NaN,0.24,0.022913
5,1955,12,31,NaN,NaN,24.1,9.0094,0.2975,0.030589
5,1956,1,29,NaN,NaN,NaN,NaN,0.25222,0.047639
5,1956,2,27,86.262,96.208,NaN,NaN,0.26444,0.049018
5,1956,3,29,86.307,92.333,NaN,NaN,0.27444,0.054798
7,1957,5,31,82.988,-163.35,NaN,NaN,0.345,0.016432
7,1957,6,30,83.763,-166.97,26.82,11.257,0.315,0.053198
7,1957,9,30,NaN,NaN,15.3,5.8979,0.19667,0.049261
7,1957,10,31,NaN,NaN,16.08,7.348,0.29667,0.050067
7,1957,11,25,85.778,-173.63,18.72,8.0763,0.29833,0.052694
7,1957,12,29,85.765,-166.33,18.94,6.8643,0.31333,0.047188
7,1958,5,4,86.257,-150.08,27.3,12.669,0.331,0.029231
7,1958,6,2,NaN,NaN,25.31,9.7584,0.286,0.035963
7,1958,10,1,NaN,NaN,20.08,10.312,0.20429,0.019881
7,1958,11,2,87.297,-59.367,22.79,11.232,0.247,0.0094868
7,1958,12,6,86.562,-61.95,NaN,NaN,0.277,0.026268
7,1959,1,7,86.33,-63.133,29.66,11.837,0.266,0.014298
7,1959,2,4,86.222,-62.717,28.72,9.9098,0.274,0.019551
7,1959,3,7,85.767,-44.45,28.79,15.722,0.27667,0.018028
8,1959,5,27,NaN,NaN,27.091,12.996,0.312,0.052154
8,1959,10,20,NaN,NaN,NaN,NaN,0.314,0.027928
8,1959,11,16,NaN,NaN,NaN,NaN,0.314,0.035777
8,1959,12,16,NaN,NaN,NaN,NaN,0.298,0.033466
8,1960,1,30,NaN,NaN,NaN,NaN,0.308,0.028636
8,1960,2,29,NaN,NaN,NaN,NaN,0.33,0.01
8,1960,3,24,NaN,NaN,NaN,NaN,0.312,0.019235
8,1960,4,29,NaN,NaN,NaN,NaN,0.356,0.052249
8,1960,5,30,NaN,NaN,NaN,NaN,0.344,0.018166
8,1960,9,30,NaN,NaN,NaN,NaN,0.199,0.021833
8,1960,10,30,NaN,NaN,NaN,NaN,0.288,0.055136
8,1960,11,30,NaN,NaN,NaN,NaN,0.258,0.053292
8,1960,12,29,NaN,NaN,NaN,NaN,0.338,0.074506
8,1961,1,1,NaN,NaN,NaN,NaN,0.266,0.034059
8,1961,2,22,NaN,NaN,NaN,NaN,0.329,0.053635
8,1961,3,13,NaN,NaN,NaN,NaN,0.337,0.047621
8,1961,6,1,83.803,-145.16,23.18,12.804,0.28333,0.03873
8,1961,9,30,NaN,NaN,19.19,6.919,0.151,0.021833
8,1961,10,31,NaN,NaN,21.74,8.543,0.184,0.045509
8,1961,11,30,82.972,-139.51,21.61,9.3072,0.223,0.045228
8,1962,1,2,82.747,-136.31,NaN,NaN,0.229,0.051088
8,1962,2,28,NaN,NaN,NaN,NaN,0.261,0.038137
9,1960,5,31,NaN,NaN,45.15,14.316,0.295,0.030641
9,1960,9,30,NaN,NaN,17.89,12.146,0.243,0.036225
9,1960,10,28,NaN,NaN,16.47,9.5879,0.26,0.037417
9,1960,11,30,NaN,NaN,17.97,9.6572,0.258,0.046857
9,1960,12,30,NaN,NaN,21.01,11.331,0.274,0.035963
9,1961,1,30,NaN,NaN,NaN,NaN,0.292,0.053083
10,1961,11,24,75.468,171.27,NaN,NaN,0.211,0.02846
10,1961,12,22,75.37,170.57,NaN,NaN,0.237,0.025841
10,1962,1,31,75.758,170.12,NaN,NaN,0.282,0.032592
10,1962,2,26,76.038,167.51,NaN,NaN,0.292,0.048028
10,1962,3,31,76.963,161.56,NaN,NaN,0.288,0.038239
10,1962,4,30,NaN,NaN,NaN,NaN,0.304,0.022706
10,1962,5,20,78.11,159.91,NaN,NaN,0.332,0.055936
10,1962,11,29,NaN,NaN,28.21,11.855,0.245,0.037491
10,1962,12,30,79.442,160.91,24.59,10.072,0.269,0.024698
10,1963,2,2,80.145,159.56,26.86,10.673,0.279,0.025144
10,1963,3,3,NaN,NaN,29.96,11.412,0.285,0.027588
10,1963,4,1,81.05,157.32,30.922,10.811,0.292,0.017512
11,1962,8,31,81.683,-154,9.08,3.5296,0.189,0.0073786
11,1962,9,30,NaN,NaN,14.63,5.7781,0.308,0.014757
11,1962,10,29,82.15,-151.48,15.66,9.2771,0.276,0.029889
11,1962,11,30,82.168,-145.85,26.05,16.991,0.345,0.066207
11,1963,1,2,81.355,-142.75,24.54,14.463,0.317,0.050343
11,1963,2,1,81.147,-139.26,23.98,13.816,0.3,0.051854
11,1963,2,28,81.322,-137.75,NaN,NaN,0.316,0.028752
11,1963,3,31,81.08,-138.11,26.02,14.894,0.308,0.067462
12,1963,5,31,77.2,-168.3,38.96,20.683,0.322,0.021499
12,1963,9,29,78.8,-174.2,13.55,8.355,0.228,0.033267
12,1963,10,31,78.6,-175,17.69,11.619,0.261,0.029981
12,1963,11,29,78.8,-174,22.12,13.853,0.298,0.029364
12,1964,1,31,80.5,-171.2,32.05,16.315,0.31,0.036818
12,1964,2,29,81,-169.5,33.74,17.525,0.302,0.038528
12,1964,3,30,81.3,-166.5,34.3,18.319,0.298,0.034897
12,1964,5,2,81.4,-165.2,28.5,12.947,0.292,0.039665
12,1964,5,31,82.4,-162.2,NaN,NaN,0.33444,0.031667
12,1964,9,30,83.3,-157,20.39,9.1308,0.216,0.029515
12,1964,12,31,NaN,NaN,28.15,8.1033,0.294,0.02319
12,1965,2,1,NaN,NaN,30.52,9.6614,0.296,0.019551
12,1965,3,2,80.6,-146.4,31.78,12.583,0.316,0.036271
13,1964,5,30,NaN,NaN,22.44,16.062,0.36222,0.051181
13,1964,9,30,NaN,NaN,19.41,10.738,0.221,0.031073
13,1964,10,29,NaN,NaN,20.4,12.882,0.254,0.02675
13,1964,11,29,76.49,172.21,32.26,16.545,0.279,0.040675
13,1964,12,30,76.813,171.59,29.12,17.712,0.302,0.04158
13,1965,1,29,77.717,168.18,32.49,16.72,0.311,0.027264
13,1965,2,27,77.81,168.11,37.03,19.976,0.32,0.036818
13,1965,4,29,78.252,164.8,38.48,21.771,0.335,0.037786
13,1965,5,31,78.82,162.75,41.82,22.224,0.287,0.048316
13,1965,7,2,80.455,156.3,18.45,12.386,0.37857,0.069864
13,1965,9,10,NaN,NaN,4.41,3.3518,0.295,0.02429
13,1965,10,2,NaN,NaN,10.18,4.5999,0.236,0.018974
13,1965,10,31,80.572,150.92,NaN,NaN,0.275,0.045522
13,1966,9,20,87.103,143.99,17.6,11.996,0.025714,0.007868
14,1965,5,30,NaN,NaN,22.37,14.362,0.323,0.03093
14,1965,9,29,76.03,166.44,14.74,5.9554,0.2,0.022608
14,1965,10,30,NaN,NaN,20.49,9.9752,0.24,0.029059
14,1965,11,30,76.65,158.22,NaN,NaN,0.272,0.013166
15,1966,5,22,79.147,170.06,32.42,18.395,0.427,0.05697
15,1966,6,25,79.423,174.11,46.03,20.571,0.362,0.020976
15,1966,9,30,80.817,171.29,16.76,4.3464,0.121,0.01792
15,1966,10,27,NaN,NaN,23.91,7.4483,0.185,0.020138
15,1966,11,23,82.61,157.95,18.82,12.323,0.282,0.032249
15,1966,12,21,82.39,163.53,22.62,11.35,0.302,0.035528
15,1967,1,22,83.335,161.89,25.73,12.404,0.343,0.054579
15,1967,2,20,83.883,162.72,27.08,11.641,0.327,0.068158
15,1967,3,24,84.347,166.58,31.31,13.07,0.308,0.039101
15,1967,4,20,85.005,167.41,31.69,12.616,0.33,0.03559
16,1968,5,20,75.645,-178.79,42.38,23.988,0.318,0.041042
16,1968,6,19,76.078,-177.18,32.69,19.905,0.4,0.044222
16,1968,9,20,79.108,-178.03,18.87,11.988,0.25,0.060185
16,1968,10,20,NaN,NaN,20.21,11.958,0.336,0.053375
16,1968,11,20,80.282,176.38,23.19,13.863,0.299,0.021833
16,1968,12,20,80.73,178.44,26.39,17.564,0.296,0.028752
16,1969,1,20,81.142,174.38,25.64,14.256,0.315,0.031002
16,1969,2,20,80.65,176.46,26.27,14.131,0.336,0.03534
16,1969,3,20,80.867,177.95,26.36,16.556,0.334,0.028363
16,1969,4,20,81.56,177.59,38.83,18.094,0.336,0.021705
16,1969,5,20,NaN,NaN,40.67,19.489,0.314,0.016465
16,1969,9,20,NaN,NaN,20.47,9.5075,0.323,0.010593
16,1969,10,20,NaN,NaN,34.35,14.531,0.32,0.018257
16,1969,11,20,83.897,178.75,34.55,15.307,0.351,0.016633
16,1969,12,20,84.193,-172.77,35.02,16.874,0.351,0.013703
16,1970,1,20,84.293,-159.12,35.93,15.002,0.353,0.032335
16,1970,2,20,NaN,NaN,38.19,17.428,0.336,0.047889
