DOY,Density
1,0.29894
2,0.29908
3,0.29922
4,0.29936
5,0.29951
6,0.29965
7,0.29979
8,0.29993
9,0.30007
10,0.30022
11,0.30036
12,0.3005
13,0.30064
14,0.30079
15,0.30118
16,0.30157
17,0.30196
18,0.30235
19,0.30274
20,0.30313
21,0.30352
22,0.30391
23,0.3043
24,0.30469
25,0.30509
26,0.30548
27,0.30587
28,0.30626
29,0.30665
30,0.30704
31,0.30743
32,0.30782
33,0.30821
34,0.3086
35,0.30899
36,0.30938
37,0.30978
38,0.31017
39,0.31056
40,0.31095
41,0.31134
42,0.31173
43,0.31212
44,0.31251
45,0.3129
46,0.31326
47,0.31362
48,0.31398
49,0.31433
50,0.31469
51,0.31505
52,0.31541
53,0.31577
54,0.31612
55,0.31648
56,0.31684
57,0.3172
58,0.31755
59,0.31791
60,0.31827
61,0.31863
62,0.31899
63,0.31934
64,0.3197
65,0.32006
66,0.32042
67,0.32078
68,0.32113
69,0.32149
70,0.32185
71,0.32221
72,0.32257
73,0.32292
74,0.3231
75,0.32327
76,0.32345
77,0.32362
78,0.32379
79,0.32397
80,0.32414
81,0.32432
82,0.32449
83,0.32467
84,0.32484
85,0.32501
86,0.32519
87,0.32536
88,0.32554
89,0.32571
90,0.32588
91,0.32606
92,0.32623
93,0.32641
94,0.32658
95,0.32676
96,0.32693
97,0.3271
98,0.32728
99,0.32745
100,0.32763
101,0.3278
102,0.32797
103,0.32815
104,0.32832
105,0.32824
106,0.32815
107,0.32806
108,0.32797
109,0.32788
110,0.3278
111,0.32771
112,0.32762
113,0.32753
114,0.32745
115,0.32736
116,0.32727
117,0.32718
118,0.3271
119,0.32701
120,0.32692
121,0.32683
122,0.32675
123,0.32666
124,0.32657
125,0.32648
126,0.3264
127,0.32631
128,0.32622
129,0.32613
130,0.32605
131,0.32596
132,0.32587
133,0.32578
134,0.3257
135,0.32681
136,0.32792
137,0.32903
138,0.33015
139,0.33126
140,0.33237
141,0.33348
142,0.3346
143,0.33571
144,0.33682
145,0.33793
146,0.33905
147,0.34016
148,0.34127
149,0.34238
150,0.3435
151,0.34461
152,0.34572
153,0.34683
154,0.34795
155,0.34906
156,0.35017
157,0.35128
158,0.3524
159,0.35351
160,0.35462
161,0.35573
162,0.35685
163,0.35796
164,0.35907
165,0.36018
166,0.36178
167,0.36337
168,0.36497
169,0.36656
170,0.36815
171,0.36975
172,0.37134
173,0.37294
174,0.37453
175,0.37612
176,0.37772
177,0.37931
178,0.3809
179,0.3825
180,0.38409
181,0.38569
182,0.38728
183,0.38887
184,0.39047
185,0.39206
186,0.39366
187,0.39525
188,0.39684
189,0.39844
190,0.40003
191,0.40162
192,0.40322
193,0.40481
194,0.40641
195,0.408
196,0.40279
197,0.39759
198,0.39238
199,0.38717
200,0.38196
201,0.37676
202,0.37155
203,0.36634
204,0.36114
205,0.35593
206,0.35072
207,0.34551
208,0.34031
209,0.3351
210,0.32989
211,0.32469
212,0.31948
213,0.31427
214,0.30906
215,0.30386
216,0.29865
217,0.29344
218,0.28824
219,0.28303
220,0.27782
221,0.27261
222,0.26741
223,0.2622
224,0.25699
225,0.25179
226,0.24658
227,0.24615
228,0.24572
229,0.24528
230,0.24485
231,0.24442
232,0.24399
233,0.24356
234,0.24313
235,0.24269
236,0.24226
237,0.24183
238,0.2414
239,0.24097
240,0.24054
241,0.2401
242,0.23967
243,0.23924
244,0.23881
245,0.23838
246,0.23795
247,0.23751
248,0.23708
249,0.23665
250,0.23622
251,0.23579
252,0.23536
253,0.23492
254,0.23449
255,0.23406
256,0.23363
257,0.2332
258,0.23437
259,0.23555
260,0.23673
261,0.23791
262,0.23909
263,0.24026
264,0.24144
265,0.24262
266,0.2438
267,0.24497
268,0.24615
269,0.24733
270,0.24851
271,0.24969
272,0.25086
273,0.25204
274,0.25322
275,0.2544
276,0.25557
277,0.25675
278,0.25793
279,0.25911
280,0.26029
281,0.26146
282,0.26264
283,0.26382
284,0.265
285,0.26617
286,0.26735
287,0.26853
288,0.26896
289,0.26939
290,0.26982
291,0.27025
292,0.27068
293,0.27111
294,0.27154
295,0.27197
296,0.2724
297,0.27282
298,0.27325
299,0.27368
300,0.27411
301,0.27454
302,0.27497
303,0.2754
304,0.27583
305,0.27626
306,0.27669
307,0.27712
308,0.27755
309,0.27798
310,0.27841
311,0.27884
312,0.27927
313,0.2797
314,0.28013
315,0.28056
316,0.28098
317,0.28141
318,0.28184
319,0.28233
320,0.28281
321,0.2833
322,0.28378
323,0.28427
324,0.28475
325,0.28523
326,0.28572
327,0.2862
328,0.28669
329,0.28717
330,0.28766
331,0.28814
332,0.28863
333,0.28911
334,0.28959
335,0.29008
336,0.29056
337,0.29105
338,0.29153
339,0.29202
340,0.2925
341,0.29299
342,0.29347
343,0.29395
344,0.29444
345,0.29492
346,0.29541
347,0.29589
348,0.29638
349,0.29652
350,0.29666
351,0.2968
352,0.29695
353,0.29709
354,0.29723
355,0.29737
356,0.29751
357,0.29766
358,0.2978
359,0.29794
360,0.29808
361,0.29823
362,0.29837
363,0.29851
364,0.29865
365,0.29879
